,name,online_order,book_table,rate,votes,location,rest_type,cuisines,type,city,review_sentimen
10739,RGS Ambur briyani,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10740,Salkara Malabar Kitchen,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10741,Delicious Mom's Kitchen,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10742,Chorum Curryum,0,0,3.700448817952718,0,0,1,3,4,0,3.0
10743,Crunch Pizzas,1,0,2.6,473,0,1,2,4,0,1.0
10744,Green Mango Restaurant,1,0,3.700448817952718,0,0,1,2,4,0,3.0
10745,Pakiza Dilli Darbar Restaurant,1,0,3.2,13,0,1,1,4,0,3.0
10746,Red Chilli,1,0,3.700448817952718,0,0,1,2,4,0,3.0
10747,Sri Krishna Delight,1,0,3.700448817952718,0,0,1,2,4,0,3.0
10748,Biryani Magic,1,0,3.5,31,0,1,2,4,0,3.0
10749,Sri Srinivas Park Hotel,1,0,3.700448817952718,0,0,1,2,4,0,0.0
10750,2nd Home Restaurant,1,0,3.7,21,0,1,3,4,0,3.0
10751,Naati Biriyani,0,0,3.1,4,0,1,2,4,0,0.0
10752,FoodNite,1,0,3.700448817952718,0,0,1,3,4,0,0.0
10753,Royal's Biryani,1,0,3.700448817952718,0,0,1,1,4,0,4.0
10754,The Cuboidal,1,0,3.6,16,0,1,3,4,0,3.0
10755,Pan Asian,1,0,3.700448817952718,0,0,1,1,4,0,0.0
10756,Deepam Tiffins,0,0,3.700448817952718,0,0,1,3,4,0,4.0
10757,Joey's,0,0,3.7,43,0,1,2,4,0,3.0
10758,Pout,0,0,4.0,40,0,1,1,4,0,3.0
10759,Chettinad Food House,0,0,3.1,7,0,1,3,4,0,3.0
10760,Kaaka T Cafe,0,0,3.5,6,0,1,1,4,0,3.0
10761,Food Junction,0,0,3.5,42,0,1,4,4,0,3.0
10762,Boston Barista - Kappayum Curriyum,1,0,3.7,63,0,1,1,4,0,1.0
10763,Desi Wok,0,0,2.7,76,0,1,2,4,0,3.0
10764,Namana Garden,0,0,2.6,75,0,1,4,4,0,3.0
10765,Shaahi Mezbaan Restaurant,0,0,3.1,9,0,1,1,4,0,3.0
10766,Gelato Pazzo,0,0,3.8,47,0,1,1,4,0,3.0
10767,Hotel Meed Cafe,0,0,3.2,5,0,1,2,4,0,3.0
10768,Karavali Lunch Home,0,0,3.3,4,0,1,1,4,0,3.0
10769,Bruncherz,0,0,3.5,15,0,1,2,4,0,3.0
10770,What the Food,0,0,3.6,38,0,1,3,4,0,3.0
10771,Thani Nadan Food,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10772,Sri Udupi Sagar,0,0,3.5,12,0,1,1,4,0,3.0
10773,Around The Corner,0,0,3.6,22,0,1,3,4,0,3.0
10774,Falafel Bistro,0,0,3.700448817952718,0,0,1,4,4,0,0.0
10775,Biriyani Angadi,0,0,3.2,7,0,1,1,4,0,3.0
10776,Tandoor Hub & Golmaal Paratha,0,0,3.2,4,0,1,1,4,0,1.0
10777,Tummy Delight,0,0,3.5,15,0,1,1,4,0,4.0
10778,Singh Da Dhaba,0,0,3.3,5,0,1,1,4,0,4.0
10779,Strategic Timeout Cafe,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10780,New Farm Fresh,0,0,3.6,34,0,1,2,4,0,3.0
10781,Hot Burg,0,0,3.5,14,0,1,2,4,0,3.0
10782,Yummerica Fries,0,0,3.3,16,0,1,2,4,0,3.0
10783,Amrutha Mess,0,0,3.4,5,0,1,1,4,0,1.0
10784,Ande Ka Funda,0,0,2.8,60,0,1,3,4,0,3.0
10785,Desi Adda,0,0,3.3,22,0,1,2,4,0,4.0
10786,Two States,0,0,3.4,5,0,1,4,4,0,3.0
10787,Sri Sapana Dhaba,1,0,3.3,9,0,1,1,4,0,1.0
10788,Dine in Restaurant,0,0,3.4,7,0,1,3,4,0,4.0
10789,Sri Sharana Basaveshwara Khanavali,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10790,Adithya Family Restaurant,0,0,3.7,27,0,1,1,4,0,3.0
10791,Top Foam Parantha Roll & Juice Centre,0,0,3.5,13,0,1,4,4,0,3.0
10792,Basawa Hotel,0,0,3.4,8,0,1,1,4,0,1.0
10793,Ambur Azad Darbar,0,0,3.2,6,0,1,3,4,0,1.0
10794,Ambur Biriyani Point,0,0,3.6,26,0,1,1,4,0,3.0
10795,Gobi Gate,0,0,3.2,8,0,1,1,4,0,3.0
10796,YummyyDoz,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10797,Hello Dish Biriyani,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10798,The Uptown,0,0,3.700448817952718,0,0,2,2,4,0,0.0
10799,Fast N Food,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10800,Shawarma Bae,0,0,3.3,8,0,1,2,4,0,4.0
10801,Swad Now - The Biriyani Factory,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10802,Brew Cafe,0,0,3.2,4,0,1,1,4,0,3.0
10803,Friend's Kitchen,0,0,3.5,10,0,1,2,4,0,4.0
10804,Chutneys Tiffin Center,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10805,Five Star New Ambur Biryani,0,0,3.700448817952718,0,0,1,4,4,0,0.0
10806,Bismillah Restaurant,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10807,Chatori Zuban,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10808,Cee Yem,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10809,Chinese Corner,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10810,South Side,0,0,3.3,6,0,1,2,4,0,3.0
10811,Santhrupthi Halli Mane,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10812,Coal Grill & Cafe,0,0,3.3,8,0,1,1,4,0,4.0
10813,Barkat,0,0,3.4,5,0,1,1,4,0,0.0
10814,Hyderabadi Biryani House,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10815,Cafe Sulaimani,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10816,Eaternet,0,0,3.6,24,0,1,3,4,0,3.0
10817,Sri Sai Restaurant,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10818,Tit Bits,0,0,3.700448817952718,0,0,1,2,4,0,2.0
10819,Desi Urbane,0,0,3.6,108,0,1,3,4,0,4.0
10820,Rayalaseema Abhiruchulu,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10821,Shawarma Bite,0,0,3.700448817952718,0,0,1,1,4,0,0.0
10822,GR Foods,1,0,3.700448817952718,0,0,1,2,4,0,0.0
10823,Jordan Cafe,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10824,Ice N Spice,0,0,3.700448817952718,0,0,1,3,4,0,0.0
10825,Svadu Sweets,0,0,3.3,5,0,2,2,4,0,0.0
10826,C K Bake & Juice,0,0,3.1,10,0,2,2,4,0,3.0
10827,The Grand Kitchen Restaurant,0,0,3.700448817952718,0,0,1,2,4,0,4.0
10828,Hotel Mirchi Red,0,0,3.0,32,0,1,2,4,0,1.0
10829,My Dabeli & My Pizza,0,0,3.4,5,0,1,2,4,0,3.0
10830,New Shetty Lunch Bhavan,0,0,3.700448817952718,0,0,1,2,4,0,0.0
10831,Food And You,1,0,3.9,33,0,1,3,4,0,3.0
10832,RSS Donne Biryani,1,0,3.3,59,0,1,1,4,0,3.0
10833,Chettayees,1,0,3.4,147,0,1,3,4,0,1.0
10834,Mongolian Kitchen,0,0,3.8,30,0,1,2,4,0,3.0
10835,Dum Biryani Hub,1,0,3.9,64,0,1,1,4,0,1.0
10836,Pappu Chaiwalla,1,0,3.1,89,0,1,4,4,0,3.0
10837,New Punjabi Hotel,1,0,3.7,178,0,1,2,4,0,1.0
10838,Grill N Chill,0,0,3.1,17,0,1,2,4,0,3.0
10839,Bay Root,0,0,3.7,24,0,1,2,4,0,3.0
10840,Hunger2Eat,1,0,3.7,26,0,1,3,4,0,3.0
10841,Ande Ka Funda,0,0,3.5,27,0,1,1,4,0,3.0
10842,Marunadan Kada,0,0,3.3,6,0,1,2,4,0,4.0
10843,Al-Marhaba Restaurant,1,0,3.700448817952718,0,0,1,5,4,0,0.0
10844,Paratha Junction,1,0,2.9,177,0,1,2,4,0,3.0
10845,Ambur Hot Dum Biryani,0,0,3.5,21,0,1,1,4,0,3.0
10846,SGS Non Veg - Gundu Pulav,1,0,3.6,41,0,1,2,4,0,3.0
10847,Prawn Crunch,1,0,3.2,7,0,1,2,4,0,3.0
10848,Masale Daan,1,0,3.700448817952718,0,0,1,1,4,0,1.0
10849,Nammura Donne Biriyani,1,0,3.6,68,0,1,2,4,0,4.0
10850,Mahesh Friends Food Center,1,0,2.9,127,0,1,2,4,0,1.0
10851,Public Khana,1,0,3.5,17,0,1,2,4,0,4.0
10852,Sri Lakshmi Dhaba,1,0,2.9,257,0,1,1,4,0,1.0
10853,Rana Vada Pav,1,0,3.700448817952718,0,0,1,2,4,0,0.0
10854,Tangerine - Davanam Sarovar Portico Suites,1,1,4.0,150,42,1,8,4,0,3.0
10855,Fabindia Cafe,0,0,4.2,221,42,1,2,4,0,3.0
10856,The Yogisthaan Cafe,1,0,4.1,60,42,1,4,4,0,3.0
10857,Gallop Bar - Davanam Sarovar Portico Suites,0,0,3.5,8,42,1,1,4,0,3.0
10858,Pai's Kitchen,0,0,3.5,11,42,1,1,4,0,3.0
10859,Royal Lunch Home,0,0,3.700448817952718,0,42,1,1,4,0,0.0
10860,Truffles,0,0,4.7,14654,45,2,4,4,0,3.0
10861,The Black Pearl,0,1,4.7,10413,45,2,3,4,0,3.0
10862,Koramangala Social,1,0,4.6,4650,47,1,4,4,0,3.0
10863,XOOX Brewmill,0,1,4.4,1533,45,2,3,4,0,3.0
10864,Gilly's Restobar,0,1,4.5,3902,45,2,3,4,0,3.0
10865,Bombay Adda,0,1,4.5,2225,47,2,1,4,0,3.0
10866,Buff Buffet Buff,1,1,4.5,3125,45,2,5,4,0,3.0
10867,Levitate Brewery and Kitchen,0,1,3.700448817952718,0,29,2,3,4,0,3.0
10868,Biergarten,0,1,3.700448817952718,0,45,2,7,4,0,3.0
10869,Boho,0,1,4.2,1721,45,1,5,4,0,3.0
10870,Deja Vu Resto Bar,1,1,4.4,2493,3,1,2,4,0,3.0
10871,Barbeque Nation,0,1,4.7,3852,29,1,5,4,0,3.0
10872,Sultans of Spice,1,1,4.5,3458,45,1,3,4,0,3.0
10873,The Reservoire,0,1,4.5,2540,45,2,6,4,0,3.0
10874,Indigo XP,0,0,4.3,2349,45,1,4,4,0,3.0
10875,Dyu Art Cafe,0,0,4.5,3826,45,1,3,4,0,3.0
10876,Brooks and Bonds Brewery,1,1,4.4,3870,45,2,5,4,0,3.0
10877,Fenny's Lounge And Kitchen,0,1,4.5,6348,47,2,5,4,0,3.0
10878,Sharief Bhai,0,1,4.3,1520,45,1,2,4,0,3.0
10879,Asia Kitchen By Mainland China,1,1,4.9,2178,45,2,4,4,0,3.0
10880,Ulavacharu,1,1,3.700448817952718,0,45,1,3,4,0,3.0
10881,Brewsky,1,1,4.4,4315,29,1,2,4,0,3.0
10882,ECHOES Koramangala,0,0,4.7,3197,45,2,5,4,0,3.0
10883,Bonsouth,1,1,4.2,2616,45,1,3,4,0,3.0
10884,Chianti,0,1,4.7,4845,45,1,1,4,0,3.0
10885,Village - The Soul of India,0,1,4.1,2456,29,1,4,4,0,3.0
10886,House Of Commons,0,1,4.8,4390,45,1,3,4,0,3.0
10887,Hunger Camp,0,1,4.6,319,29,1,4,4,0,3.0
10888,Punjab Bistro,1,1,4.4,455,47,2,1,4,0,3.0
10889,Drava,0,1,4.4,110,45,1,4,4,0,3.0
10890,The Terrace at Gilly's Redefined,0,1,4.6,866,44,2,4,4,0,4.0
10891,The Boozy Griffin,0,1,4.6,4947,45,2,2,4,0,3.0
10892,Gramin,1,0,4.3,3447,47,1,1,4,0,3.0
10893,Simon Says Brew Works,0,1,4.5,1932,45,2,6,4,0,3.0
10894,Om Made Cafe,0,0,4.0,2729,45,1,4,4,0,3.0
10895,Meghana Foods,1,0,4.4,7210,45,1,4,4,0,3.0
10896,Kesariya,0,1,4.2,1214,29,1,1,4,0,3.0
10897,Three Dots & A Dash,0,1,4.3,1201,29,2,2,4,0,3.0
10898,Tim Tai,1,1,4.4,3667,45,1,7,4,0,3.0
10899,Myu Bar at Gilly's Redefined,0,1,4.4,1213,44,2,6,4,0,3.0
10900,55 Wall Street,0,1,3.9,1771,29,1,3,4,0,3.0
10901,Toscano,1,1,4.5,710,47,1,2,4,0,3.0
10902,By The Blue - Grand Mercure,0,1,4.1,782,43,1,2,4,0,3.0
10903,Le Arabia,1,0,3.700448817952718,0,29,1,2,4,0,3.0
10904,Kobe Sizzlers,0,1,4.1,1786,45,1,4,4,0,3.0
10905,Public - The Rooftop Bar And Kitchen,0,1,4.3,956,3,2,4,4,0,3.0
10906,Happy Brew,0,1,4.0,2151,45,1,5,4,0,3.0
10907,Sixth Avenue Cafe And Patisserie,0,0,4.4,159,45,2,3,4,0,3.0
10908,Al-Bek,1,0,3.9,682,32,1,4,4,0,3.0
10909,Big Wong XL,0,1,4.5,678,45,1,4,4,0,3.0
10910,Nagarjuna,0,0,4.3,2296,45,1,3,4,0,3.0
10911,Crawl Street,1,1,4.3,2563,45,1,4,4,0,3.0
10912,Shanmukha,1,0,4.4,1944,32,1,4,4,0,3.0
10913,Eshanya,1,1,4.1,1078,32,1,2,4,0,3.0
10914,Bob's Bar,0,0,3.700448817952718,0,47,2,2,4,0,3.0
10915,China Pearl,1,1,4.4,1851,46,1,1,4,0,3.0
10916,Salt - Indian Restaurant Bar & Grill,1,1,4.4,677,47,1,3,4,0,3.0
10917,Kopper Kadai,1,1,4.1,1697,45,1,2,4,0,3.0
10918,Harry's Bar + Cafe,1,1,4.2,1365,47,2,3,4,0,3.0
10919,Kritunga Restaurant,0,0,3.8,1159,45,1,4,4,0,3.0
10920,Wok Paper Scissors,1,0,4.3,1587,45,1,5,4,0,3.0
10921,Oye Amritsar,1,1,4.0,1851,46,1,1,4,0,3.0
10922,Hunan,0,1,4.3,2241,45,1,3,4,0,3.0
10923,Two Friends Cauldron,1,1,4.1,454,29,1,3,4,0,3.0
10924,Beer Adda,1,1,4.2,541,45,2,3,4,0,3.0
10925,Hungry Hippie,0,1,4.3,1463,45,1,4,4,0,3.0
10926,Karavali Grand,1,0,3.7,26,45,1,4,4,0,4.0
10927,Aasife & Brothers Biriyani Centre,1,0,3.8,120,22,1,4,4,0,3.0
10928,Dice N Dine,1,1,4.3,1800,45,2,5,4,0,3.0
10929,Empire Restaurant,1,0,4.1,6875,45,1,4,4,0,3.0
10930,Royal Treat,0,0,4.1,435,45,1,3,4,0,3.0
10931,Fava Bistro,1,1,4.4,383,45,2,4,4,0,3.0
10932,Nuts Over Salads Cafe,1,1,4.4,197,45,1,2,4,0,3.0
10933,Chinita Real Mexican Food,0,0,4.5,729,45,1,1,4,0,3.0
10934,Moghul Durbar Restaurant,0,0,4.0,335,32,1,4,4,0,3.0
10935,YORK St.,1,0,4.4,939,45,1,3,4,0,3.0
10936,Nourich,1,1,3.700448817952718,0,29,1,6,4,0,4.0
10937,Roundup Cafe,1,1,4.2,468,45,1,3,4,0,3.0
10938,Lot Like Crepes,1,0,4.7,1022,47,2,3,4,0,3.0
10939,The Flying Trapeze,0,1,3.700448817952718,0,45,1,3,4,0,4.0
10940,Crumb Together,1,1,4.1,587,29,2,4,4,0,3.0
10941,Enerjuvate Studio & Cafe,0,1,4.4,464,44,1,7,4,0,3.0
10942,Checkpost,1,0,4.1,956,29,1,4,4,0,3.0
10943,Market Table,0,1,4.5,546,45,1,4,4,0,3.0
10944,Baba Chatkora,0,0,3.700448817952718,0,29,1,1,4,0,3.0
10945,Bamey's Restro Cafe,1,0,4.2,532,45,1,6,4,0,3.0
10946,Noodle Panda,1,0,4.3,336,45,1,7,4,0,3.0
10947,Karama Restaurant,1,0,4.1,1555,45,1,3,4,0,3.0
10948,Cafe Graffiters,1,0,3.8,22,45,1,3,4,0,3.0
10949,Anjappar,0,0,3.9,1155,44,1,2,4,0,3.0
10950,Mayur,1,1,3.7,20,25,1,3,4,0,4.0
10951,What's In A Name,1,1,4.1,1774,45,1,4,4,0,3.0
10952,Nandhana Palace,0,1,4.1,770,44,2,4,4,0,3.0
10953,Tandoor And Spice,1,0,4.0,181,29,1,4,4,0,3.0
10954,Sathya's,0,1,4.1,759,43,1,2,4,0,3.0
10955,Galito's,1,0,4.6,406,3,1,2,4,0,3.0
10956,Mr. Beans - Home Cafe,1,1,4.2,2709,43,1,3,4,0,3.0
10957,154 Breakfast Club,1,1,4.0,1509,43,1,2,4,0,3.0
10958,Tunday Kababi,1,0,3.9,1138,45,1,2,4,0,3.0
10959,Bottle Breacher,0,1,4.2,1192,29,2,2,4,0,3.0
10960,Hyderabad Biryaani House,1,0,4.1,1112,45,1,4,4,0,3.0
10961,Rajdhani Thali Restaurant,1,1,4.0,792,47,1,1,4,0,3.0
10962,Tibetan Mother's Kitchen,1,0,4.0,957,47,1,3,4,0,3.0
10963,Chung Wah,1,0,4.0,313,45,1,4,4,0,3.0
10964,Naati Manae,1,1,3.9,484,45,1,4,4,0,3.0
10965,Eagles Pizza,1,0,3.6,14,47,1,2,4,0,3.0
10966,Zero Mile Punjab,1,1,4.1,1336,22,1,2,4,0,3.0
10967,The Himalayan,0,1,4.4,320,45,1,1,4,0,3.0
10968,Cafe D'hide,1,1,4.2,869,45,1,4,4,0,3.0
10970,Cafe Medley,1,0,4.2,1059,45,1,3,4,0,3.0
10971,Indian Coffee House & Restaurant,0,0,4.1,674,45,1,3,4,0,3.0
10972,BEIR,1,0,3.700448817952718,0,3,1,2,4,0,4.0
10973,1722 Urban Bistro,1,1,4.1,218,45,1,4,4,0,3.0
10974,Andhra Ruchulu,1,1,4.2,1430,29,1,2,4,0,3.0
10975,Mani's Dum Biryani,1,0,3.9,778,45,1,2,4,0,3.0
10976,Peace Restaurant,1,0,3.8,658,45,1,2,4,0,3.0
10977,Fresh Pressery Cafe,1,0,4.1,137,45,1,5,4,0,3.0
10978,The Vacationer's Cafe,1,0,4.1,306,47,1,3,4,0,3.0
10979,Nellore Ruchulu,1,0,3.7,31,3,1,3,4,0,3.0
10980,Tilt Gastro Lounge,0,1,4.1,1235,45,2,4,4,0,3.0
10981,Dande's Hyderabad Biryani,1,0,3.8,208,3,1,3,4,0,3.0
10982,Bistro Oui,1,1,4.1,400,45,2,4,4,0,3.0
10983,Coastal Mama,0,1,4.1,466,29,1,4,4,0,3.0
10984,Zingron,1,0,4.0,510,47,1,2,4,0,1.0
10985,52 Wall Street,0,0,3.9,737,46,2,3,4,0,3.0
10986,Bulls N Bears - Bar Trade Xchange,0,1,3.9,144,45,2,4,4,0,3.0
10987,Zhang's - Chinese Restaurant,1,0,4.1,588,29,1,2,4,0,3.0
10988,Smally's Resto Cafe,1,1,4.2,1692,45,1,5,4,0,3.0
10989,Johnny Fox,0,0,3.9,66,25,1,2,4,0,4.0
10990,The Yellow Tuk-Tuk Cafe,1,0,3.6,16,45,1,3,4,0,3.0
10991,The Egg Factory,1,0,4.0,1308,29,1,2,4,0,3.0
10992,Caffe Pascucci,1,1,4.0,790,29,1,3,4,0,3.0
10993,Watson's,1,1,4.0,1014,29,2,3,4,0,3.0
10994,Desipun,1,1,4.2,344,45,1,1,4,0,3.0
10995,Punjabi Times,1,1,4.1,1027,3,1,1,4,0,3.0
10996,D View Cafe,1,0,4.0,508,29,2,4,4,0,1.0
10997,Little Lucknow,1,1,4.0,235,45,1,2,4,0,3.0
10998,Baba Da Dhaba,0,1,4.1,446,47,1,1,4,0,3.0
10999,Sutra Spice-The Resto Bar,0,0,3.9,31,44,1,2,4,0,4.0
11000,Crafted Plate,1,1,4.2,239,29,2,6,4,0,3.0
11001,Smoke - The Sizzler House,1,1,4.0,1382,47,1,6,4,0,3.0
11002,Kundana,1,0,3.7,111,3,1,2,4,0,3.0
11003,Onesta,1,1,4.4,4386,29,2,3,4,0,3.0
11004,Chai Galli,1,0,4.3,480,45,1,3,4,0,3.0
11005,Sukh Sagar,1,0,3.8,473,45,1,4,4,0,3.0
11006,JukeBox,0,1,3.9,281,47,2,6,4,0,3.0
11007,Barbeque Delight,1,0,3.7,65,45,1,5,4,0,1.0
11008,Sherlock's Pub,0,1,3.9,579,45,2,3,4,0,3.0
11009,Popsies,1,0,3.9,823,45,1,2,4,0,3.0
11010,Parkview,0,0,4.0,130,29,1,3,4,0,3.0
11011,Chicken County Grand,1,0,3.9,320,3,1,2,4,0,3.0
11012,Starbucks,0,0,4.2,386,29,1,2,4,0,3.0
11013,California Burrito,0,0,4.1,1223,45,1,2,4,0,3.0
11014,Tata Cha,1,0,3.7,31,47,1,3,4,0,3.0
11015,Thalassery Restaurant,1,0,3.700448817952718,0,3,1,8,4,0,3.0
11016,Stoner,1,0,4.5,2594,45,2,6,4,0,3.0
11017,Meenu Oota Da Maane,1,1,4.2,293,45,1,3,4,0,3.0
11018,Over The Top Terrace Lounge,0,1,3.9,1388,45,1,2,4,0,3.0
11019,Bangaliana,1,0,3.9,452,47,1,1,4,0,3.0
11020,Abhiruchi Hotel,1,0,3.2,12,7,1,3,4,0,4.0
11021,Ilyazsab Shawarma Cafe,1,0,3.700448817952718,0,32,1,2,4,0,3.0
11022,Khawa Karpo,0,0,4.3,988,45,1,3,4,0,3.0
11023,7 Plates,1,0,3.7,259,45,1,2,4,0,3.0
11024,Aalishan Restaurant & Caterer,1,0,3.5,888,47,1,2,4,0,3.0
11025,Biriyani Mane,1,0,3.7,158,32,1,3,4,0,3.0
11027,Willys Top Cafe,1,0,4.0,310,32,1,3,4,0,4.0
11028,Momo Blues,1,0,3.700448817952718,0,45,1,4,4,0,3.0
11029,Tandoor Hut,1,0,4.1,1003,45,1,4,4,0,4.0
11030,Azimmo Treat,1,0,3.8,41,22,1,2,4,0,3.0
11031,Taj Durbar,0,0,3.8,83,32,1,2,4,0,3.0
11032,Lounge 189,0,0,3.8,157,22,2,2,4,0,3.0
11033,Vitamin Palace,0,0,4.1,172,47,1,4,4,0,3.0
11034,Curry Leaves,1,0,3.8,232,32,1,3,4,0,3.0
11035,Axomi - Taste of Assam,1,0,4.0,610,47,1,1,4,0,3.0
11036,Rajanna Military Hotel,1,0,4.1,164,32,1,2,4,0,3.0
11037,Khatta Meetha Teekha,1,0,4.2,189,46,1,5,4,0,3.0
11038,Mavalli Tiffin Room (MTR),0,0,4.1,873,29,1,1,4,0,3.0
11039,Lazeez,1,0,3.2,908,45,1,3,4,0,3.0
11040,Saara's Cafe - SS Lumina Hotel,0,1,4.2,117,47,1,4,4,0,3.0
11041,Tenzin Kitchen,1,0,4.2,522,47,1,3,4,0,3.0
11042,Hatti Punjab Di,0,0,3.3,24,22,1,2,4,0,4.0
11043,Nutri Rich,1,0,3.8,53,47,1,1,4,0,3.0
11044,Restro Cafe,1,0,3.8,30,32,1,1,4,0,4.0
11045,Breaktime Brew,1,0,3.7,24,47,1,1,4,0,3.0
11046,Uttar Karnataka Meals Restaurant,0,0,3.7,26,32,1,1,4,0,3.0
11047,Rajesh Restaurant,1,1,3.5,59,22,1,4,4,0,3.0
11048,Leon Grill,1,0,4.3,165,45,1,7,4,0,3.0
11049,Hyderabad Bawarchi,0,0,3.9,118,32,1,3,4,0,3.0
11050,Gods Own Cafe,1,0,4.4,384,47,1,3,4,0,3.0
11051,Madeena Hotel,1,0,3.9,51,3,1,3,4,0,3.0
11052,IDC Kitchen,0,0,4.2,51,45,1,1,4,0,3.0
11053,WTF,1,0,4.1,90,45,1,2,4,0,3.0
11054,Saara's Grill n Spice - SS Lumina Hotel,0,1,4.3,104,47,1,3,4,0,3.0
11055,30 Square,1,0,4.2,556,45,1,3,4,0,3.0
11056,Biryanis And More,1,0,3.700448817952718,0,45,1,5,4,0,3.0
11057,Tibetan Kitchen,1,0,4.3,245,45,1,4,4,0,3.0
11058,The Underground Gastropub,0,0,3.0,37,45,1,1,4,0,3.0
11059,Nouvelle Garden,0,0,3.7,202,29,1,3,4,0,3.0
11060,Arya Hungry?,1,0,4.3,277,47,1,1,4,0,3.0
11061,Sardarji Ka Dhaba,1,0,4.0,750,25,1,1,4,0,4.0
11062,Billionaires Cafe,1,0,3.8,47,45,1,2,4,0,3.0
11063,Aami Bangali,1,0,3.0,66,45,1,1,4,0,3.0
11064,12th Main - Grand Mercure,0,1,4.1,353,43,1,2,4,0,3.0
11065,Vaho Kafe & Pressery,0,0,3.9,124,3,1,7,4,0,3.0
11066,Side Street Kitchen,0,0,3.700448817952718,0,45,1,3,4,0,3.0
11067,New Prashanth Hotel,1,0,3.1,53,22,1,4,4,0,3.0
11068,Sarvam,1,0,3.6,122,22,1,6,4,0,3.0
11069,Biryani Nights,1,0,3.6,19,3,1,3,4,0,3.0
11070,Shree Thali,0,0,4.0,181,45,1,1,4,0,3.0
11071,City Durbar,1,0,3.7,72,32,1,3,4,0,3.0
11072,Taj Darbar,1,0,3.8,149,45,1,3,4,0,3.0
11073,Burger King,1,0,3.9,1043,47,1,3,4,0,3.0
11074,Fandom at Gilly's Redefined,0,0,3.8,103,44,1,1,4,0,3.0
11075,Atta Galata,0,0,4.1,208,45,1,2,4,0,3.0
11076,Navya Foods,1,0,3.4,7,22,1,2,4,0,3.0
11077,Maxpresso,1,0,4.1,323,47,1,4,4,0,3.0
11078,Northern Bites,1,0,3.2,51,3,1,2,4,0,3.0
11079,Drunken Monkey,1,0,3.7,125,29,2,2,4,0,1.0
11080,Haji Ali Juice Centre,1,0,4.0,152,45,2,3,4,0,3.0
11081,Embers - Nandhana Grand Hotel,0,0,3.8,38,46,1,5,4,0,3.0
11082,Tawa Ghar Ka,1,0,3.8,331,22,1,1,4,0,3.0
11083,Kebarbiq,1,0,4.0,138,47,1,5,4,0,3.0
11084,Navami,1,0,3.5,79,32,1,6,4,0,1.0
11085,Hotel Parampare,1,0,2.9,13,47,1,3,4,0,3.0
11086,Smoke-A-Pot,1,0,3.3,10,45,2,3,4,0,3.0
11087,Spice Code,0,1,3.9,165,29,1,4,4,0,3.0
11088,Shri Madhuram,0,0,3.9,371,22,1,2,4,0,2.0
11089,Sri Sai 99 Variety Dosa,1,0,3.6,37,32,1,1,4,0,3.0
11090,Burj Hotel,1,0,3.4,56,3,1,2,4,0,1.0
11091,Sonar Bangala,1,0,3.8,76,45,1,2,4,0,1.0
11092,Smoor,1,0,4.2,99,47,2,3,4,0,3.0
11093,Bharat Kitchen,1,0,3.7,20,41,1,6,4,0,3.0
11094,Namaste Kitchen,1,0,3.8,172,45,1,3,4,0,3.0
11095,Maa'r Rannaghor,1,0,3.8,21,29,1,2,4,0,1.0
11096,#L-81 Cafe,1,0,3.9,48,22,1,2,4,0,3.0
11097,Royal Chef Naati Oota,0,0,4.0,193,29,1,3,4,0,3.0
11098,Swathi Restaurant,1,0,3.8,49,29,1,1,4,0,3.0
11099,Smokey Tribe Restaurant,1,0,3.8,264,47,1,2,4,0,3.0
11100,Woody's,1,0,2.6,208,29,1,3,4,0,3.0
11101,Aaranya Restaurant,1,0,3.4,212,22,1,3,4,0,3.0
11102,Make It Roll,1,0,3.8,33,22,1,3,4,0,3.0
11103,Coconut Grove,0,0,3.4,97,29,2,4,4,0,3.0
11104,Tella Tales,1,0,4.2,413,45,1,3,4,0,3.0
11105,Grills And Tandoor,1,1,3.6,107,45,1,2,4,0,3.0
11106,Pani Kum Chai,1,0,3.9,67,32,1,1,4,0,3.0
11107,Biryani Palace,1,0,3.9,459,22,1,3,4,0,3.0
11108,Box Magic,1,0,3.7,22,3,1,4,4,0,3.0
11109,Wat-a-Burger!,1,0,4.0,108,32,1,3,4,0,3.0
11110,Tharavadu,1,0,3.8,84,22,1,3,4,0,3.0
